1000, 352, 348, 356, 348, 320, 344.8, 14.2548
6000, 352, 352, 352, 348, 328, 346.4, 10.4307
11000, 337, 333, 337, 335, 310, 330.4, 11.5239
16000, 329, 327, 328, 331, 304, 323.8, 11.1669
21000, 326, 327, 327, 326, 304, 322, 10.0747
26000, 324, 325, 324, 322, 304, 319.8, 8.89944
31000, 323, 324, 323, 323, 302, 319, 9.51315
36000, 324, 324, 324, 323, 303, 319.6, 9.28978
41000, 322, 322, 322, 322, 302, 318, 8.94427
46000, 322, 368, 379, 322, 301, 338.4, 33.3961
51000, 322, 323, 323, 322, 303, 318.6, 8.73499
56000, 322, 322, 322, 322, 301, 317.8, 9.39149
61000, 321, 321, 321, 321, 302, 317.2, 8.49706
