500 , 66, 66, 66, 66, 66, 66, 0
1000 , 110, 110, 110, 110, 91, 106.2, 8.49706
1500 , 168, 173, 177, 176, 157, 170.2, 8.16701
2000 , 251, 245, 255, 245, 225, 244.2, 11.5412
2500 , 278, 269, 268, 286, 250, 270.2, 13.4611
3000 , 301, 300, 298, 296, 266, 292.2, 14.7716
3500 , 321, 320, 321, 320, 301, 316.6, 8.73499
4000 , 344, 344, 347, 340, 318, 338.6, 11.7813
4500 , 361, 361, 359, 363, 333, 355.4, 12.6016
5000 , 367, 368, 369, 367, 337, 361.6, 13.7768
5500 , 386, 385, 384, 376, 341, 374.4, 19.0866
6000 , 388, 390, 390, 391, 368, 385.4, 9.78775
6500 , 401, 390, 395, 399, 353, 387.6, 19.7939
7000 , 406, 401, 403, 405, 374, 397.8, 13.4425
7500 , 409, 411, 411, 405, 380, 403.2, 13.1985
8000 , 413, 411, 414, 414, 385, 407.4, 12.5817
8500 , 421, 418, 412, 416, 382, 409.8, 15.8808
9000 , 416, 417, 422, 418, 379, 410.4, 17.7003
9500 , 422, 420, 417, 421, 379, 411.8, 18.431
10000 , 422, 418, 426, 423, 379, 413.6, 19.5525
